station_id,station_name,station_code,latitude,longitude,timezone,city_id
281,Bologne Salle des Fêtes,StopArea:OCE87107425,48.199737,5.141416,Europe/Paris,3119
282,Bologne Salle des Fêtes,StopPoint:OCECar TER-87107425,48.199737,5.141416,Europe/Paris,3119
283,Soncourt,StopArea:OCE87107433,48.252239,5.116971,Europe/Paris,7188
284,Soncourt,StopPoint:OCECar TER-87107433,48.252239,5.116971,Europe/Paris,7188
285,Gudmont-Centre,StopArea:OCE87107458,48.342516,5.136969,Europe/Paris,4360
286,Gudmont-Centre,StopPoint:OCECar TER-87107458,48.342516,5.136969,Europe/Paris,4360
287,Eurville Mairie,StopArea:OCE87107466,48.585297,5.03725,Europe/Paris,4056
288,Eurville Mairie,StopPoint:OCECar TER-87107466,48.585297,5.03725,Europe/Paris,4056
289,Saint-Dizier Godard-Jeanson,StopArea:OCE87107474,48.631407,4.950304,Europe/Paris,6647
290,Saint-Dizier Godard-Jeanson,StopPoint:OCECar TER-87107474,48.631407,4.950304,Europe/Paris,6647
291,Chatonrupt,StopArea:OCE87107482,48.488599,5.12729,Europe/Paris,3534
