route_id,departure_station_id,arrival_station_id,departure_station_name,arrival_station_name,departure_city_name,arrival_city_name,departure_country_name,arrival_country_name,departure_country_code,arrival_country_code,operator_name,is_international,distance_km,trip_count,weekly_frequency,daily_frequency_avg,avg_duration_minutes,min_duration_minutes,max_duration_minutes,main_train_type,has_night_train,has_day_train,avg_num_stops,min_num_stops,max_num_stops,avg_quality_score,min_quality_score,quality_issues_count,co2_train_kg,co2_plane_kg,co2_saving_kg,co2_saving_percent,substitution_score,substitution_potential
3671,7548,192,Chambéry - Challes-les-Eaux,Genève Cornavin,Chambéry - Challes-les-Eaux,Genève Cornavin,France,France,FR,FR,SNCF VOYAGEURS,0,73.11,1,1.0,0.14,90.0,90.0,90.0,day,0,1,2.0,2,2,100.0,100,0,1.02,16.82,15.79,93.91,45,moyen
3672,7739,7875,Bellegarde,Grenoble,Bellegarde,Grenoble,France,France,FR,FR,SNCF VOYAGEURS,0,102.42,4,4.0,0.57,102.25,94.0,111.0,day,0,1,4.0,3,5,100.0,100,0,1.43,23.56,22.12,93.91,50,moyen
3673,192,7875,Genève Cornavin,Grenoble,Genève Cornavin,Grenoble,France,France,FR,FR,SNCF VOYAGEURS,0,118.05,18,1.06,0.15,136.5,125.0,148.0,day,0,1,5.0,4,6,100.0,100,0,1.65,27.15,25.5,93.91,45,moyen
3674,192,7561,Genève Cornavin,Aix-les-Bains le Revard,Genève Cornavin,Aix-les-Bains le Revard,France,France,FR,FR,SNCF VOYAGEURS,0,60.78,6,6.0,0.86,74.5,67.0,90.0,day,0,1,1.67,1,3,100.0,100,0,0.85,13.98,13.13,93.91,50,moyen
3675,192,8261,Genève Cornavin,Valence Ville,Genève Cornavin,Valence Ville,France,France,FR,FR,SNCF VOYAGEURS,0,172.56,23,1.05,0.15,205.04,196.0,219.0,day,0,1,8.78,8,10,100.0,100,0,2.42,39.69,37.27,93.91,50,moyen
3676,7739,8261,Bellegarde,Valence Ville,Bellegarde,Valence Ville,France,France,FR,FR,SNCF VOYAGEURS,0,150.02,3,3.0,0.43,170.33,165.0,181.0,day,0,1,7.67,7,9,100.0,100,0,2.1,34.5,32.4,93.91,60,moyen
3677,192,7548,Genève Cornavin,Chambéry - Challes-les-Eaux,Genève Cornavin,Chambéry - Challes-les-Eaux,France,France,FR,FR,SNCF VOYAGEURS,0,73.11,2,1.75,0.25,79.0,79.0,79.0,day,0,1,2.0,2,2,100.0,100,0,1.02,16.82,15.79,93.91,45,moyen
3678,178,7739,La Plaine (Suisse),Bellegarde,La Plaine (Suisse),Bellegarde,France,France,FR,FR,SNCF VOYAGEURS,0,15.63,1,1.0,0.14,17.0,17.0,17.0,day,0,1,1.0,1,1,100.0,100,0,0.22,3.59,3.38,93.91,45,moyen
3679,4,6212,Barcelone-Sants,Paris Gare de Lyon Hall 1 - 2,Barcelone-Sants,Paris Gare de Lyon Hall 1 - 2,France,France,FR,FR,SNCF VOYAGEURS,0,830.38,33,1.49,0.21,412.73,406.0,440.0,day,0,1,8.97,8,10,100.0,100,0,11.63,190.99,179.36,93.91,72,fort
3680,6212,4,Paris Gare de Lyon Hall 1 - 2,Barcelone-Sants,Paris Gare de Lyon Hall 1 - 2,Barcelone-Sants,France,France,FR,FR,SNCF VOYAGEURS,0,830.38,27,1.28,0.18,411.04,410.0,414.0,day,0,1,9.19,8,10,100.0,100,0,11.63,190.99,179.36,93.91,72,fort
3681,7970,191,Marseille Saint-Charles,Genève Cornavin,Marseille Saint-Charles,Genève Cornavin,France,France,FR,FR,SNCF VOYAGEURS,0,328.85,3,0.16,0.02,219.67,219.0,221.0,day,0,1,4.0,4,4,100.0,100,0,4.6,75.64,71.03,93.91,65,moyen
3682,7970,218,Marseille Saint-Charles,Lausanne,Marseille Saint-Charles,Lausanne,France,France,FR,FR,SNCF VOYAGEURS,0,370.66,6,0.6,0.09,269.67,264.0,285.0,day,0,1,5.0,5,5,100.0,100,0,5.19,85.25,80.06,93.91,70,fort
